iter	Passed	Remaining
0	57	57918
1	60	30102
2	62	20712
3	64	16013
4	66	13178
5	68	11279
6	69	9910
7	71	8875
8	73	8091
9	75	7441
10	76	6915
11	78	6477
12	80	6108
13	82	5788
14	84	5517
15	85	5287
16	87	5072
17	89	4907
18	91	4742
19	93	4597
20	95	4466
21	97	4343
22	99	4226
23	101	4124
24	103	4035
25	105	3948
26	107	3866
27	109	3789
28	111	3720
29	112	3652
30	114	3593
31	116	3533
32	118	3480
33	120	3430
34	122	3381
35	124	3336
36	126	3291
37	128	3261
38	130	3220
39	132	3182
40	134	3145
41	136	3110
42	138	3075
43	140	3044
44	142	3014
45	143	2984
46	145	2956
47	147	2930
48	149	2904
49	151	2880
50	153	2856
51	155	2831
52	157	2812
53	159	2789
54	161	2769
55	162	2747
56	165	2733
57	167	2716
58	169	2695
59	170	2677
60	172	2659
61	174	2641
62	176	2624
63	178	2607
64	180	2592
65	182	2577
66	183	2561
67	186	2554
68	188	2540
69	190	2528
70	192	2514
71	193	2498
72	195	2485
73	197	2473
74	199	2461
75	201	2448
76	203	2436
77	205	2426
78	207	2415
79	209	2404
80	210	2385
81	212	2374
82	214	2364
83	215	2350
84	217	2341
85	219	2331
86	221	2323
87	223	2314
88	225	2304
89	227	2295
90	229	2288
91	231	2280
92	232	2272
93	234	2263
94	236	2255
95	238	2247
96	240	2238
97	242	2230
98	244	2222
99	245	2213
100	247	2206
101	249	2199
102	251	2192
103	253	2184
104	255	2178
105	257	2172
106	259	2165
107	261	2158
108	263	2152
109	265	2146
110	266	2134
111	268	2128
112	270	2123
113	272	2117
114	274	2111
115	275	2097
116	277	2091
117	279	2085
118	280	2079
119	282	2073
120	284	2067
121	286	2061
122	288	2055
123	289	2048
124	291	2041
125	293	2035
126	295	2030
127	297	2024
128	299	2021
129	302	2021
130	303	2016
131	305	2011
132	307	2006
133	309	2000
134	312	2003
135	314	1999
136	316	1994
137	318	1989
138	320	1982
139	321	1977
140	323	1971
141	325	1964
142	326	1958
143	328	1952
144	330	1946
145	331	1940
146	333	1935
147	335	1930
148	337	1925
149	337	1915
150	339	1910
151	341	1906
152	343	1901
153	345	1896
154	347	1892
155	349	1888
156	350	1883
157	352	1879
158	354	1875
159	356	1872
160	358	1868
161	360	1863
162	362	1863
163	364	1858
164	365	1849
165	367	1846
166	369	1842
167	371	1838
168	373	1834
169	375	1831
170	377	1828
171	378	1824
172	380	1820
173	382	1816
174	384	1813
175	386	1810
176	388	1806
177	390	1802
178	392	1799
179	394	1795
180	396	1793
181	398	1789
182	399	1785
183	401	1782
184	403	1779
185	405	1775
186	407	1772
187	409	1769
188	411	1766
189	413	1763
190	415	1760
191	417	1757
192	419	1753
193	421	1750
194	423	1749
195	426	1747
196	427	1744
197	429	1741
198	431	1738
199	433	1735
200	435	1731
201	437	1728
202	439	1725
203	441	1722
204	443	1719
205	445	1716
206	447	1713
207	449	1710
208	451	1707
209	453	1704
210	455	1701
211	456	1697
212	458	1694
213	460	1692
214	462	1689
215	464	1686
216	466	1683
217	468	1679
218	470	1676
219	472	1673
220	474	1670
221	476	1668
222	477	1665
223	479	1659
224	481	1657
225	483	1654
226	484	1651
227	486	1647
228	488	1644
229	490	1641
230	492	1638
231	493	1633
232	496	1633
233	498	1630
234	499	1627
235	501	1625
236	503	1622
237	506	1620
238	507	1616
239	509	1614
240	511	1611
241	513	1609
242	515	1606
243	517	1604
244	519	1602
245	521	1599
246	523	1596
247	525	1594
248	527	1591
249	529	1588
250	531	1586
251	533	1583
252	535	1581
253	537	1578
254	539	1576
255	541	1573
256	543	1571
257	545	1569
258	547	1566
259	549	1563
260	551	1561
261	553	1558
