iter	Passed	Remaining
0	67	67819
1	68	34130
2	68	22885
3	69	17239
4	69	13882
5	70	11632
6	70	10018
7	71	8804
8	71	7860
9	71	7104
10	72	6486
11	72	5970
12	72	5534
13	73	5161
14	73	4838
15	74	4556
16	74	4308
17	74	4086
18	75	3889
19	75	3709
20	76	3547
21	76	3403
22	76	3269
23	77	3145
24	77	3031
25	78	2924
26	78	2827
27	78	2736
28	79	2652
29	79	2573
30	79	2499
31	80	2431
32	80	2367
33	81	2305
34	81	2248
35	81	2193
36	82	2143
37	82	2094
38	83	2048
39	83	2004
40	83	1962
41	84	1922
42	84	1884
43	85	1848
44	85	1813
45	85	1780
46	86	1748
47	86	1718
48	87	1689
49	87	1660
50	87	1635
51	88	1609
52	88	1585
53	89	1560
54	89	1537
55	89	1516
56	90	1494
57	90	1476
58	91	1455
59	91	1436
60	92	1417
61	92	1398
62	92	1380
63	93	1363
64	93	1346
65	94	1330
66	94	1315
67	94	1299
68	95	1285
69	95	1270
70	95	1255
71	96	1242
72	96	1229
73	97	1216
74	97	1203
75	97	1190
76	98	1178
77	98	1166
78	99	1158
79	99	1148
80	100	1137
81	100	1126
82	101	1115
83	101	1105
84	101	1095
85	102	1085
86	102	1075
87	102	1066
88	103	1057
89	103	1048
90	104	1039
91	104	1031
92	104	1023
93	105	1014
94	105	1006
95	106	998
96	106	991
97	106	983
98	107	975
99	107	968
100	107	960
101	108	953
102	108	946
103	109	939
104	109	933
105	109	927
106	110	920
107	110	914
108	111	907
109	111	901
110	111	895
111	112	889
112	112	883
113	112	877
114	113	872
115	113	866
116	114	861
117	114	856
118	114	851
119	115	845
120	115	840
121	116	835
122	116	830
123	116	825
124	117	820
125	117	816
126	118	811
127	118	807
128	118	802
129	119	798
130	119	795
131	120	790
132	120	786
133	121	782
134	121	777
135	121	773
136	122	769
137	122	765
138	122	761
139	123	757
140	123	753
141	124	750
142	124	746
143	124	742
144	125	739
145	125	735
146	126	731
147	126	728
148	126	724
149	127	721
150	127	717
151	128	714
152	128	711
153	128	708
154	129	705
155	129	702
156	130	699
157	130	695
158	130	692
159	131	689
160	131	686
161	132	683
162	132	681
163	133	679
164	133	676
165	134	673
166	134	671
167	134	668
168	135	665
169	135	662
170	136	659
171	136	656
172	136	653
173	137	651
174	137	648
175	137	645
176	138	643
177	138	641
178	139	638
179	139	636
180	140	633
181	140	631
182	140	629
183	141	626
184	141	624
185	142	621
186	142	619
187	143	617
188	143	615
189	143	613
190	144	610
191	144	608
192	145	606
193	145	604
194	145	602
195	146	599
196	146	597
197	146	595
198	147	593
199	147	591
200	148	589
201	148	587
202	149	585
203	149	583
204	150	582
205	150	580
206	151	579
207	151	577
208	152	575
209	152	574
210	153	573
211	153	572
212	154	570
213	154	568
214	155	566
215	155	564
216	156	563
217	156	561
218	156	559
219	157	557
220	157	555
221	158	554
222	158	552
223	158	550
224	159	548
225	159	546
226	160	545
227	160	543
228	160	541
229	161	540
230	161	538
231	162	536
232	162	535
233	163	533
234	163	532
235	163	530
236	164	529
237	164	527
238	165	525
239	165	524
240	165	522
241	166	522
242	167	521
243	167	519
244	168	518
245	168	516
246	168	515
247	169	513
248	169	512
249	170	510
250	170	508
251	170	507
252	171	505
253	171	504
254	172	502
255	172	500
256	172	499
257	173	498
258	175	501
259	175	500
260	176	499
261	176	497
262	177	496
263	177	494
264	177	493
265	178	492
266	178	491
267	179	491
268	180	489
269	180	488
270	181	487
271	181	486
272	181	484
273	182	483
274	182	482
275	183	480
276	183	479
277	184	478
278	184	476
279	184	475
280	185	474
281	185	473
282	186	471
283	186	470
284	186	468
285	187	467
286	187	466
287	188	464
288	188	463
289	190	467
290	191	465
291	191	464
292	192	463
293	192	462
294	192	461
295	193	459
296	193	458
297	194	457
298	194	455
299	194	454
300	195	453
301	195	452
302	196	451
303	196	450
304	197	449
305	197	448
306	198	447
307	198	445
308	198	444
309	199	443
310	199	442
311	200	441
312	200	440
313	200	438
314	201	437
315	201	436
316	202	435
317	202	434
318	202	433
319	203	431
320	203	430
321	204	429
322	204	428
323	204	427
324	205	426
325	205	425
326	205	423
327	206	422
328	206	421
329	207	420
330	207	419
331	208	418
332	208	417
333	208	416
334	209	415
335	209	414
336	210	413
337	210	412
338	210	411
339	211	410
340	211	409
341	212	408
342	212	407
343	212	406
344	213	405
345	213	404
346	214	403
347	214	402
348	215	401
349	215	400
350	215	399
351	216	398
352	216	396
353	216	395
354	217	394
355	217	394
356	218	393
357	218	392
358	219	391
359	219	390
360	219	389
361	220	388
362	220	387
363	221	386
364	221	385
365	222	385
366	223	384
367	223	383
368	223	383
369	224	382
370	224	381
371	225	380
372	225	379
373	226	378
374	226	377
375	226	376
376	227	375
377	227	374
378	228	373
379	228	372
380	228	371
381	229	370
382	229	370
383	230	369
384	230	368
385	230	367
386	231	366
387	231	365
388	232	364
389	232	363
390	232	362
391	233	361
392	233	360
393	234	360
394	234	359
395	234	358
396	235	357
397	235	356
398	236	355
399	236	354
400	236	353
401	237	353
402	237	352
403	238	351
404	238	350
405	238	349
406	239	348
407	239	348
408	240	347
409	240	346
410	241	345
411	241	344
412	242	344
413	242	343
414	242	342
415	243	341
416	243	340
417	244	340
418	244	339
419	245	338
420	245	337
421	245	336
422	246	335
423	246	335
424	246	334
425	247	333
426	247	332
427	248	331
428	248	330
429	248	329
430	249	329
431	249	328
432	250	327
433	250	326
434	250	325
435	251	325
436	251	324
437	252	323
438	252	322
439	252	321
440	253	321
441	254	320
442	254	319
443	255	319
444	255	318
445	256	318
446	256	317
447	257	316
448	257	315
449	257	315
450	258	314
451	258	313
452	259	312
453	259	312
454	259	311
455	260	310
456	260	309
457	261	308
458	261	308
459	261	307
460	262	306
461	262	305
462	262	304
463	263	304
464	263	303
465	264	302
466	264	301
467	264	301
468	265	300
469	265	299
470	265	298
471	266	297
472	266	297
473	267	296
474	267	295
475	267	294
476	268	294
477	268	293
478	268	292
479	269	291
480	269	291
481	270	290
482	270	289
483	271	288
484	271	288
485	271	287
486	272	286
487	272	285
488	272	285
489	273	284
490	273	283
491	274	283
492	274	282
493	274	281
494	275	280
495	275	280
496	276	279
497	276	278
498	276	277
499	277	277
500	278	277
501	278	276
502	279	275
503	279	275
504	279	274
505	280	273
506	280	272
507	281	272
508	281	271
509	281	270
510	282	270
511	282	269
512	283	268
513	283	267
514	283	267
515	284	266
516	284	265
517	285	265
518	285	264
519	285	263
520	286	263
521	286	262
522	287	261
523	287	261
524	287	260
525	288	259
526	288	259
527	289	258
528	289	257
529	289	257
530	290	256
531	290	255
532	291	254
533	291	254
534	291	253
535	292	252
536	292	252
537	293	251
538	293	250
539	293	250
540	294	249
541	294	248
542	294	248
543	295	247
544	295	246
545	296	246
546	296	245
547	296	244
548	297	244
549	297	243
550	298	242
551	298	242
552	298	241
553	299	240
554	299	240
555	300	239
556	300	238
557	300	238
558	301	237
559	301	236
560	301	236
561	302	235
562	302	234
563	303	234
564	303	233
565	303	232
566	304	232
567	304	231
568	305	231
569	305	230
570	305	229
571	306	229
572	306	228
573	306	227
574	307	227
575	307	226
576	308	226
577	308	225
578	309	224
579	309	224
580	310	223
581	310	222
582	310	222
583	311	221
584	311	220
585	311	220
586	312	219
587	312	219
588	312	218
589	313	217
590	313	217
591	314	216
592	314	215
593	314	215
594	315	214
595	315	214
596	316	213
597	316	212
598	316	212
599	317	211
600	317	210
601	318	210
602	318	209
603	318	209
604	319	208
605	319	207
606	320	207
607	320	206
608	320	206
609	321	205
610	321	204
611	322	204
612	322	203
613	322	202
614	323	202
615	323	201
616	324	201
617	324	200
618	324	199
619	325	199
620	325	198
621	326	198
622	326	197
623	326	196
624	327	196
625	328	196
626	328	195
627	329	194
628	329	194
629	329	193
630	330	193
631	330	192
632	331	191
633	331	191
634	331	190
635	332	190
636	332	189
637	333	189
638	333	188
639	333	187
640	334	187
641	334	186
642	335	186
643	335	185
644	335	184
645	336	184
646	336	183
647	336	183
648	337	182
649	337	181
650	338	181
651	338	180
652	338	180
653	339	179
654	339	178
655	340	178
656	340	177
657	340	177
658	341	176
659	341	176
660	342	175
661	342	174
662	342	174
663	343	173
664	344	173
665	344	172
666	344	172
667	345	171
668	345	171
669	346	170
670	346	169
671	347	169
672	347	168
673	347	168
674	348	167
675	348	167
676	349	166
677	349	166
678	350	165
679	350	165
680	351	164
681	351	163
682	351	163
683	352	162
684	352	162
685	352	161
686	353	160
687	353	160
688	354	159
689	354	159
690	354	158
691	355	158
692	355	157
693	356	157
694	356	156
695	357	155
696	357	155
697	357	154
698	358	154
699	358	153
700	358	153
701	359	152
702	360	152
703	361	151
704	361	151
705	362	150
706	362	150
707	363	149
708	363	149
709	364	148
710	364	148
711	364	147
712	365	147
713	365	146
714	365	145
715	366	145
716	366	144
717	367	144
718	367	143
719	367	143
720	368	142
721	368	141
722	369	141
723	369	140
724	369	140
725	370	139
726	370	139
727	371	138
728	371	138
729	372	137
730	372	137
731	372	136
732	373	135
733	373	135
734	373	134
735	374	134
736	375	133
737	375	133
738	376	132
739	376	132
740	377	131
741	377	131
742	377	130
743	378	130
744	378	129
745	379	129
746	379	128
747	379	128
748	380	127
749	380	126
750	381	126
751	381	125
752	382	125
753	382	124
754	382	124
755	383	123
756	383	123
757	384	122
758	384	122
759	384	121
760	385	121
761	385	120
762	386	119
763	386	119
764	387	118
765	387	118
766	387	117
767	388	117
768	388	116
769	389	116
770	389	115
771	389	115
772	390	114
773	390	114
774	391	113
775	391	112
776	391	112
777	392	111
778	392	111
779	392	110
780	393	110
781	393	109
782	393	109
783	394	108
784	394	108
785	395	107
786	395	107
787	395	106
788	396	105
789	396	105
790	396	104
791	397	104
792	397	103
793	398	103
794	398	102
795	398	102
796	399	101
797	399	101
798	400	100
799	400	100
800	401	99
801	401	99
802	401	98
803	402	98
804	402	97
805	403	97
806	403	96
807	404	96
808	405	95
809	405	95
810	405	94
811	406	94
812	406	93
813	407	93
814	407	92
815	408	92
816	409	91
817	410	91
818	410	90
819	411	90
820	411	89
821	412	89
822	412	88
823	413	88
824	413	87
825	413	87
826	414	86
827	414	86
828	415	85
829	415	85
830	416	84
831	416	84
832	416	83
833	417	83
834	417	82
835	417	81
836	418	81
837	418	80
838	419	80
839	419	79
840	420	79
841	421	79
842	421	78
843	421	77
844	422	77
845	422	76
846	423	76
847	423	75
848	424	75
849	424	74
850	424	74
851	425	73
852	425	73
853	426	72
854	426	72
855	426	71
856	427	71
857	427	70
858	428	70
859	428	69
860	428	69
861	429	68
862	429	68
863	429	67
864	430	67
865	430	66
866	431	66
867	431	65
868	431	65
869	432	64
870	432	64
871	433	63
872	433	63
873	433	62
874	434	62
875	434	61
876	435	61
877	435	60
878	436	60
879	436	59
880	437	59
881	437	58
882	437	58
883	438	57
884	438	57
885	439	56
886	439	55
887	439	55
888	440	54
889	440	54
890	440	53
891	441	53
892	441	52
893	442	52
894	442	51
895	442	51
896	443	50
897	443	50
898	444	49
899	444	49
900	444	48
901	445	48
902	445	47
903	445	47
904	446	46
905	446	46
906	447	45
907	447	45
908	447	44
909	448	44
910	448	43
911	449	43
912	449	42
913	449	42
914	450	41
915	450	41
916	451	40
917	451	40
918	451	39
919	452	39
920	452	38
921	452	38
922	453	37
923	453	37
924	453	36
925	454	36
926	454	35
927	455	35
928	455	34
929	455	34
930	456	33
931	456	33
932	456	32
933	457	32
934	457	31
935	458	31
936	458	30
937	458	30
938	459	29
939	459	29
940	460	28
941	460	28
942	460	27
943	461	27
944	461	26
945	461	26
946	462	25
947	462	25
948	463	24
949	463	24
950	463	23
951	464	23
952	464	22
953	465	22
954	465	21
955	465	21
956	466	20
957	466	20
958	466	19
959	467	19
960	467	18
961	468	18
962	468	17
963	468	17
964	469	17
965	469	16
966	469	16
967	470	15
968	470	15
969	471	14
970	471	14
971	471	13
972	472	13
973	472	12
974	473	12
975	473	11
976	473	11
977	474	10
978	474	10
979	475	9
980	475	9
981	475	8
982	476	8
983	476	7
984	477	7
985	477	6
986	477	6
987	478	5
988	478	5
989	479	4
990	479	4
991	479	3
992	480	3
993	481	2
994	482	2
995	483	1
996	483	1
997	484	0
998	484	0
999	484	0
